original,abbreviation
Acoustics,Acoust
Advances,Adv
Applications,Appl
Artifical,Artif
Cognitive,Cognit
Communications,Commun
Computer,Comput
Computing,Comput
Conference,Conf
Consumer,Consum
Electronics,Electron
Information,Inf
Intelligent,Intell
International,Int
Journal,J
Learning,Learn
Letters,Lett
Machine,Mach
Magazine,Mag
Networking,Netw
Proceedings,Proc
Processing,Process
Recognition,Recognit
Reports,Rep
Review,Rev
Scientific,Sci
Selected,Sel
Stamdards,Stand
Survey,Surv
Surveys,Surv
System,Syst
Systems,Syst
Technical,Tech
Transactions,Trans
Tutorial,Tut
Tutorials,Tut
Vehicle,Veh
Vision,Vis
January,Jan
February,Feb
March,Mar
April,Apr
June,Jun
July,Jul
August,Aug
September,Sep
October,Oct
November,Nov
December,Dec
